,word,part_of_speech,frequency
2708,lifelong,adj,1
2712,sick,adj,1
2713,napoli,adj,1
2715,native,adj,1
2716,charming,adj,1
2717,calabrese,adj,1
2722,passeggiar,adj,1
2725,kissable,adj,1
2729,yummy,adj,1
2730,busy,adj,1
2732,bunch,adj,1
2734,pony,adj,1
2739,steal,adj,1
2740,spell,adj,1
2742,stiff,adj,1
2743,unfortunate,adj,1
2744,devil,adj,1
2745,matter,adj,1
2746,obituary,adj,1
2747,lead,adj,1
2748,bootleg,adj,1
2749,public,adj,1
2750,improvise,adj,1
2752,hunch,adj,1
2753,clothe,adj,1
2754,honky,adj,1
2757,voyant,adj,1
2758,dearest,adj,1
2760,ashamed,adj,1
2766,due,adj,1
2767,nighttime,adj,1
2768,scent,adj,1
2770,key,adj,1
2773,vene,adj,1
2775,whistle,adj,1
2777,grateful,adj,1
2780,confess,adj,1
2781,miserable,adj,1
2782,internal,adj,1
2785,dry,adj,1
2787,forgiving,adj,1
2788,dirty,adj,1
2790,tiny,adj,1
2792,santa,adj,1
2804,ressemble,adj,1
2805,tous,adj,1
2806,doucement,adj,1
2807,amant,adj,1
2808,désuni,adj,1
2810,vain,adj,1
2812,hummin,adj,1
2815,disturbing,adj,1
2816,springtime,adj,1
2817,square,adj,1
2820,buzzard,adj,1
2822,occasional,adj,1
2823,fast,adj,1
2824,everyday,adj,1
2827,cheater,adj,1
2828,weeper,adj,1
2832,round,adj,1
2833,rash,adj,1
2834,suky,adj,1
2835,lotte,adj,1
2836,precious,adj,1
2837,fake,adj,1
2841,sighin,adj,1
2843,mockingbird,adj,1
2846,hotter,adj,1
2847,regal,adj,1
2851,lyin,adj,1
2852,dismal,adj,1
2853,louie,adj,1
2854,pale,adj,1
2857,nighty,adj,1
2860,song,adj,1
2861,future,adj,1
2862,dummy,adj,1
2863,pink,adj,1
2864,evil,adj,1
2866,stare,adj,1
2867,scared,adj,1
2868,scary,adj,1
2869,mischevous,adj,1
2870,nasty,adj,1
2871,cute,adj,1
2872,fright,adj,1
2873,genuine,adj,1
2874,outta,adj,1
2876,instrumental,adj,1
2877,upper,adj,1
2878,siamese,adj,1
2879,twin,adj,1
2880,argentine,adj,1
2881,shad,adj,1
2882,shallow,adj,1
2883,sentimental,adj,1
2884,courageous,adj,1
2885,yule,adj,1
2886,stew,adj,1
2887,steady,adj,1
2888,ready,adj,1
2889,screamin,adj,1
2890,secret,adj,1
2891,thеm,adj,1
2892,sinful,adj,1
2893,righteous,adj,1
2419,away,adv,46
2418,long,adv,27
2417,right,adv,23
2465,someday,adv,19
2428,way,adv,15
2429,far,adv,12
2437,soon,adv,12
2481,pretty,adv,11
2431,forever,adv,8
2438,well,adv,8
2460,maybe,adv,8
2467,amore,adv,7
2430,suddenly,adv,6
2432,finally,adv,6
2448,heavenly,adv,6
2495,dolly,adv,6
2427,apart,adv,5
2433,slowly,adv,5
2444,sure,adv,5
2482,home,adv,5
2423,ahead,adv,4
2459,hard,adv,4
2499,twice,adv,4
2500,meshach,adv,4
2421,gladly,adv,3
2445,sly,adv,3
2466,later,adv,3
2468,outside,adv,3
2506,yule,adv,3
2414,forevermore,adv,2
2420,sadly,adv,2
2422,straight,adv,2
2424,yore,adv,2
2434,low,adv,2
2439,near,adv,2
2440,late,adv,2
2443,deep,adv,2
2446,strictly,adv,2
2447,easy,adv,2
2462,silly,adv,2
2470,simply,adv,2
2472,completely,adv,2
2473,alphabetically,adv,2
2478,double,adv,2
2479,forward,adv,2
2480,ago,adv,2
2483,positively,adv,2
2490,funny,adv,2
2494,golly,adv,2
2508,doorstep,adv,2
2415,course,adv,1
2416,truly,adv,1
2425,undo,adv,1
2426,awfully,adv,1
2435,goodnight,adv,1
2436,oops,adv,1
2441,lovely,adv,1
2442,fast,adv,1
2449,afar,adv,1
2450,wrong,adv,1
2451,matter,adv,1
2452,practically,adv,1
2453,totally,adv,1
2454,vainly,adv,1
2455,terrifically,adv,1
2456,obviously,adv,1
2457,brightly,adv,1
2458,tenderly,adv,1
2461,anytime,adv,1
2463,gratefully,adv,1
2464,softly,adv,1
2469,close,adv,1
2471,imply,adv,1
2474,lightly,adv,1
2475,carefully,adv,1
2476,generously,adv,1
2477,unsightly,adv,1
2484,isse,adv,1
2485,serenely,adv,1
2486,surely,adv,1
2487,real,adv,1
2488,nice,adv,1
2489,badly,adv,1
2491,soft,adv,1
2492,firstborn,adv,1
2493,dead,adv,1
2496,pearly,adv,1
2497,dottly,adv,1
2498,laughin,adv,1
2501,live,adv,1
2502,south,adv,1
2503,sorta,adv,1
2504,kind,adv,1
2505,dragonfly,adv,1
2507,mreally,adv,1
324,love,noun,208
333,way,noun,98
321,heart,noun,89
359,dream,noun,83
394,day,noun,69
340,time,noun,68
330,life,noun,61
360,world,noun,58
319,baby,noun,52
424,night,noun,48
350,thing,noun,47
500,snow,noun,46
1359,spook,noun,40
1021,boom,noun,39
1270,wheel,noun,39
508,home,noun,36
355,people,noun,34
421,eye,noun,34
476,air,noun,34
322,song,noun,32
562,kiss,noun,32
389,girl,noun,30
530,tree,noun,29
485,arm,noun,27
318,word,noun,26
392,swing,noun,25
606,morning,noun,25
395,walk,noun,24
511,wind,noun,24
535,sky,noun,24
940,comin,noun,24
317,hand,noun,23
313,moon,noun,22
398,smile,noun,22
448,cause,noun,22
514,lot,noun,22
584,bell,noun,22
315,star,noun,21
349,man,noun,21
439,tonight,noun,21
561,fall,noun,21
1372,war,noun,21
382,town,noun,20
415,dance,noun,19
716,flower,noun,19
809,street,noun,19
411,year,noun,18
325,face,noun,17
393,sway,noun,17
430,summer,noun,17
597,thrill,noun,17
632,mess,noun,17
640,music,noun,17
802,boy,noun,17
864,mambo,noun,17
373,bird,noun,16
455,care,noun,16
470,booze,noun,16
473,land,noun,16
374,win,noun,15
429,head,noun,15
516,luck,noun,15
901,money,noun,15
487,gold,noun,14
527,know,noun,14
551,lip,noun,14
560,winter,noun,14
585,ring,noun,14
586,jingle,noun,14
588,horse,noun,14
1244,run,noun,14
1254,cheesecake,noun,14
327,friend,noun,13
354,blow,noun,13
414,evening,noun,13
477,hold,noun,13
504,light,noun,13
651,rain,noun,13
405,trouble,noun,12
433,ride,noun,12
486,whisper,noun,12
499,fire,noun,12
515,lady,noun,12
587,fun,noun,12
689,marriage,noun,12
805,ling,noun,12
1003,haven,noun,12
345,cry,noun,11
523,guy,noun,11
620,road,noun,11
643,mind,noun,11
652,talk,noun,11
691,brother,noun,11
897,sun,noun,11
955,memory,noun,11
1190,straighten,noun,11
1369,riverside,noun,11
316,spring,noun,10
357,tune,noun,10
370,think,noun,10
380,sleep,noun,10
454,hair,noun,10
465,fool,noun,10
466,use,noun,10
503,pop,noun,10
505,turn,noun,10
618,need,noun,10
760,coffee,noun,10
810,foot,noun,10
972,blame,noun,10
1035,feeling,noun,10
367,king,noun,9
379,today,noun,9
418,place,noun,9
436,wine,noun,9
493,moment,noun,9
605,hour,noun,9
611,sweetheart,noun,9
724,string,noun,9
922,style,noun,9
963,mister,noun,9
1261,chariot,noun,9
1330,necessity,noun,9
338,step,noun,8
344,laugh,noun,8
378,leave,noun,8
397,look,noun,8
409,mile,noun,8
479,fly,noun,8
491,wonder,noun,8
509,goodbye,noun,8
517,room,noun,8
532,hope,noun,8
576,wanna,noun,8
705,woman,noun,8
754,return,noun,8
778,egg,noun,8
923,child,noun,8
941,willow,noun,8
942,melody,noun,8
947,reindeer,noun,8
965,testify,noun,8
1093,difference,noun,8
1110,folk,noun,8
1246,saint,noun,8
1346,mama,noun,8
320,fill,noun,7
331,travel,noun,7
369,tell,noun,7
391,pass,noun,7
396,sea,noun,7
413,line,noun,7
426,wait,noun,7
444,nose,noun,7
507,storm,noun,7
531,plant,noun,7
555,charm,noun,7
557,sunshine,noun,7
589,sleigh,noun,7
616,call,noun,7
646,peace,noun,7
681,moonlight,noun,7
699,mother,noun,7
707,clown,noun,7
813,hurry,noun,7
969,sin,noun,7
1022,romance,noun,7
1029,bésame,noun,7
1248,zip,noun,7
1251,truth,noun,7
1418,potato,noun,7
346,share,noun,6
361,spin,noun,6
386,city,noun,6
406,sight,noun,6
412,fate,noun,6
423,lie,noun,6
445,touch,noun,6
447,arrange,noun,6
449,valentine,noun,6
457,skin,noun,6
528,ground,noun,6
572,rest,noun,6
583,feel,noun,6
621,lead,noun,6
622,finger,noun,6
648,glory,noun,6
669,fight,noun,6
688,darling,noun,6
690,carriage,noun,6
709,door,noun,6
717,power,noun,6
718,bloom,noun,6
721,drink,noun,6
725,rainbow,noun,6
748,kind,noun,6
825,break,noun,6
826,hat,noun,6
863,minute,noun,6
865,italiano,noun,6
888,magic,noun,6
890,sound,noun,6
898,country,noun,6
903,load,noun,6
920,dress,noun,6
959,wedding,noun,6
1066,wonderland,noun,6
1163,trip,noun,6
1271,faith,noun,6
1272,grace,noun,6
1320,worry,noun,6
1417,meat,noun,6
387,number,noun,5
420,somethin,noun,5
434,autumn,noun,5
446,change,noun,5
464,repeat,noun,5
474,band,noun,5
478,angel,noun,5
490,glance,noun,5
497,daaa,noun,5
498,weather,noun,5
501,sign,noun,5
559,window,noun,5
568,game,noun,5
581,meadow,noun,5
592,sigh,noun,5
624,witchcraft,noun,5
636,story,noun,5
655,shadow,noun,5
735,breeze,noun,5
742,cloud,noun,5
751,tomorrow,noun,5
816,floor,noun,5
848,wing,noun,5
884,rhythm,noun,5
885,bend,noun,5
887,dancer,noun,5
902,singe,noun,5
910,marshmallow,noun,5
925,corner,noun,5
980,shame,noun,5
1023,phrase,noun,5
1039,toast,noun,5
