artist,title,lyrics
Frank Sinatra,I’ve Got You Under My Skin,"I've got you under my skin
I've got you deep in the heart of me
So deep in my heart that you're really a part of me
I've got you under my skin
I tried so not to give in
I said to myself, 'this affair never will go so well'
But why should I try to resist when, baby, I know so well
I've got you under my skin
I'd sacrifice anything, come what might
For the sake of having you near
In spite of a warning voice that comes in the night
And repeats, repeats in my ear
""Don't you know little fool, you never can win?
Use your mentality, wake up to reality""
But each time that I do, just the thought of you
Makes me stop before I begin
'Cause I've got you under my skin
I would sacrifice anything, come what might
For the sake of having you near
In spite of a warning voice that comes in the night
And repeats, how it yells in my ear
""Don't you know, little fool, you never can win?
Why not use your mentality? Step up, wake up to reality""
But each time I do, just the thought of you
Makes me stop just before I begin
'Cause I've got you under my skin
Yes, I've got you, under my skin"
Frank Sinatra,Come Fly with Me (Platinum Version),"Come fly with me, let's fly, let's fly away
If you can use some exotic booze, there's a bar in far Bombay
Come fly with me, let's fly, let's fly away
Come fly with me, let's float down to Peru
In llama land, there's a one man band, and he'll toot his flute for you
Come fly with me, let's take off in the blue
Once I get you up there, where the air is rarefied
We'll just glide, starry-eyed
Once I get you up there, I'll be holding you so near
You may hear angels cheer 'cause we're together
Weather wise, it's such a lovely day
Just say the words and we'll beat the birds down to Acapulco Bay
It's perfect for a flying honeymoon, they say
Come fly with me, let's fly, let's fly away
Once I get you up there, where the air is rarefied
We'll just glide, starry-eyed
Once I get you up there, I'll be holding you so near
You may hear angels cheer 'cause we're together
Weather wise, it's such a lovely day
You just say the words and we'll beat the birds down to Acapulco Bay
It's perfect for a flying honeymoon, they say
Come fly with me, let's fly, let's fly
Pack up, let's fly away"
Frank Sinatra,Blue Moon,"Blue moon
You saw me standin' alone
Without a dream in my heart
Without a love of my own
Blue moon
You knew just what I was there for
You heard me sayin' a prayer for
Someone I really could care for
And then there suddenly appeared before me
The only one my arms will hold
I heard somebody whisper, ""Please adore me""
And when I looked, the moon had turned to gold
Blue moon
Now, I'm no longer alone
Without a dream in my heart
Without a love of my own
And then there suddenly appeared before me
The only one my arms will ever hold
I heard somebody whisper, ""Please adore me""
And when I looked, the moon had turned to gold
Blue moon
Now, I'm no longer alone
Without a dream in my heart
Without a love of my own
Blue moon
Now, I'm no longer alone
Without a dream in my heart
Without a love of my own"
Frank Sinatra,Strangers in the Night,"Strangers in the night exchanging glances
Wondering in the night, what were the chances?
We'd be sharing love before the night was through
Something in your eyes was so inviting
Something in your smile was so exciting
Something in my heart told me I must have you
Strangers in the night
Two lonely people, we were strangers in the night
Up to the moment when we said our first hello, little did we know
Love was just a glance away, a warm embracing dance away and
Ever since that night we've been together
Lovers at first sight, in love forever
It turned out so right for strangers in the night
Love was just a glance away, a warm embracing dance away
Ever since that night we've been together
Lovers at first sight, in love forever
It turned out so right for strangers in the night
Dooby-doooby-doo
Doob-dooob-doob-dee-daa
Daaa-daaa-daaa-daaa-daaa"
Frank Sinatra,Let It Snow! Let It Snow! Let It Snow!,"Oh, the weather outside is frightful
But the fire is so delightful
And since we've no place to go
Let it snow, let it snow, let it snow!
It doesn't show signs of stopping
And I brought some corn for popping
The lights are turned down low
Let it snow, let it snow, let it snow
When we finally kiss goodnight
How I'll hate to go out in the storm
But if you really hold me tight
All the way home I'll be warm
The fire is slowly dying
And my dear, we're still goodbying
But as long as you love me so
Let it snow, let it snow, let it snow
He doesn't care if it's in below
He's sitting by the fire's gloosy glow
He don't care about the cold and the winds that blow
He just says, ""Let it snow, let it snow, let it snow""
(Let It Snow!)
Oooooh-Wee goes the storm
Why should he worry when he's nice and warm
His gal by his side and the lights turned low
He just says, ""Let it snow, let it snow""
(I Don't Care!)
The weather outside Is frightful
But that fire Is ummm... delightful
Since we've no place to go
Let it snow, let it snow, let it snow!
It doesn't show signs of stopping
And I've brought lots of corn for popping
The lights are way down low
So let it snow, let it snow, let it snow!
(Let it snow!)
When we've finally say goodnight
How I'll hate going out In a storm
But If you'll only hold me tight
All the way home I'll be warm
The fire is slowly dying
And my dear we're still goodbying
Long as you love me so
Let it snow, let it snow, let it snow!"
Frank Sinatra,Luck Be a Lady,"They call you Lady Luck
But there is room for doubt
At times, you have a very unladylike way of running out
You're on this date with me
The pickin's have been lush
And yet, before this evening is over
You might give me the brush
You might forget your manners
You might refuse to stay
And so the best that I can do is pray
Luck, be a lady tonight
Luck, be a lady tonight
Luck, if you've ever been a lady to begin with
Luck, be a lady tonight
Luck, let a gentleman see
How nice a dame you can be
I know the way you've treated other guys you've been with
Luck, be a lady with me
A lady doesn't leave her escort
It isn't fair, it isn't nice
A lady doesn't wander all over the room
And blow on some other guy's dice
Let's keep this party polite
Never get out of my sight
Stick with me, baby, I'm the fella you came in with
Luck, be a lady tonight
Luck, let a gentleman see
Just how nice, how nice a, a dame you can be
I know the way you've treated other guys you've been with
Hey luck, be a lady with me
A lady doesn't leave her escort
It isn't fair and it's not nice
A lady doesn't wander all over the room
And blow on some other guy's dice
So let's keep the party polite
Never get out of my sight
Stick with me, baby, I'm the guy that you came in with
Luck, be a lady
Luck, be a lady
Luck, be a lady tonight"
Frank Sinatra,High Hopes,"Next time you're found
With your chin on the ground
There a lot to be learned
So look around
Just what makes that little old ant
Think he'll move that rubber tree plant
Anyone knows an ant can't
Move a rubber tree plant
But he's got high hopes
He's got high hopes
He's got high apple pie in the sky hopes
So any time you're gettin' low
'Stead of lettin' go
Just remember that ant:
Oops, there goes another rubber tree plant
Oops, there goes another rubber tree plant
When troubles call
And your back's to the wall
There a lot to be learned:
That wall could fall
Once there was a silly old ram
Thought he'd punch a hole in a dam
No one could make that ram scram;
He kept buttin' that dam
'Cause he had high hopes
He had high hopes
He had high apple pie in the sky hopes
So any time you're feelin' bad
'Stead of feelin' sad
Just remember that ram
Oops, there goes a billion kilowatt dam
Oops, there goes a billion kilowatt dam
All problems just a toy balloon
They'll be bursted soon
They're just bound to go, ""Pop!""
Oops, there goes another problem: Kerplop!
Oops, there goes another problem: Kerplop!"
Frank Sinatra,The Best Is Yet to Come,"Out of the tree of life I just picked me a plum
You came along and everything started to hum
Still, it's a real good bet, the best is yet to come
Best is yet to come and babe, won't that be fine?
You think you've seen the sun, but you ain't seen it shine
A-Wait till the warm-up's underway
Wait till our lips have met
And wait till you see that sunshine day
You ain't seen nothin' yet
The best is yet to come and babe, won't it be fine?
Best is yet to come, come the day you're mine
Come the day you're mine
I'm gonna teach you to fly
We've only tasted the wine
We're gonna drain the cup dry
Wait till your charms are right for these arms to surround
You think you've flown before, but baby, you ain't left the ground
A-Wait till you're locked in my embrace
Wait till I draw you near
A-Wait till you see that sunshine place
Ain't nothin' like it here
The best is yet to come and babe, won't it be fine?
The best is yet to come, come the day you're mine
Come the day you're mine
And you're gonna be mine"
Frank Sinatra,Autumn Leaves,"The falling leaves
Drift by the window
The autumn leaves
Of red and gold
I see your lips
The summer kisses
The sunburned hands
I used to hold
Since you went away
The days grow long
And soon I'll hear
Old winter's song
But I miss you most of all
My darling
When autumn leaves
Start to fall"
Frank Sinatra,I’m a Fool to Want You,"I'm a fool to want you
I'm a fool to want you
To want a love that can't be true
A love that's there for others too
I'm a fool to hold you
Such a fool to hold you
To seek a kiss not mine alone
To share a kiss the Devil has known
Time and time again I said I'd leave you
Time and time again I went away
But then would come the time when I would need you
And once again these words I'll have to say
Take me back, I love you
Pity me, I need you
I know it's wrong, it must be wrong
But right or wrong I can't get along
Without you"
Frank Sinatra,The Lady Is a Tramp,"She gets too hungry for dinner at eight
She likes the theatre and never comes late
She never bothers with people she'd hate
That's why the lady is a tramp
Doesn't like crap games with barons or earls
Won't go to Harlem in ermine and pearls
Won't dish the dirt with the rest of the girls
That's why the lady is a tramp
She likes the free, fresh wind in her hair, life without care
She's broke and it's oke'
Hates California, it's cold and it's damp
That's why the lady is a tramp
She gets too hungry to wait for dinner at eight
She loves the theatre, but never comes late
She'd never bother with people she'd hate
That's why the lady is a tramp
She'll have no crap games with sharpies and frauds
And she won't go to Harlem in Lincolns or Fords
And she won't dish the dirt with the rest of the broads
That's why the lady is a tramp
She loves the free fresh wind in her hair, life without care
She's broke, but it's oke'
Hates California, it's so cold and so damp
That's why the lady, that's why the lady
That's why the lady is a tramp"
